Year,Month,Day,Capital,Max Risk,No of lots,Trade Risk,Entry,Entry Time,Point Risk,Exit,Exit Time,PnL,New Capital
2017,07,10,987096.2500000003,9870.962500000003,2.0,7500.0,9698.25,2017-07-10 09:15:00+05:30,100.0,9767.45,2017-07-10 15:20:00+05:30,5325.0,992421.2500000003
2017,07,11,992421.2500000003,9924.212500000003,2.0,7500.0,9797.45,2017-07-11 09:15:00+05:30,100.0,9784.95,2017-07-11 15:20:00+05:30,-798.7500000001091,991622.5000000002
2017,07,12,991622.5000000002,9916.225000000002,2.0,7500.0,9811.3,2017-07-12 09:15:00+05:30,100.0,9818.2,2017-07-12 15:20:00+05:30,671.2500000000546,992293.7500000002
2017,07,13,992293.7500000002,9922.937500000002,2.0,7500.0,9855.8,2017-07-13 09:15:00+05:30,100.0,9889.65,2017-07-13 15:20:00+05:30,2651.2500000000273,994945.0000000002
2017,07,14,994945.0000000002,9949.450000000003,2.0,7500.0,9913.3,2017-07-14 09:15:00+05:30,100.0,9886.25,2017-07-14 15:20:00+05:30,-1916.2499999999454,993028.7500000002
2017,07,17,993028.7500000002,9930.287500000002,2.0,7500.0,9911.6,2017-07-17 09:19:00+05:30,100.0,9916.55,2017-07-17 15:20:00+05:30,521.2499999999181,993550.0000000001
2017,07,19,993550.0000000001,9935.500000000002,2.0,7500.0,9855.95,2017-07-19 09:15:00+05:30,100.0,9899.25,2017-07-19 15:20:00+05:30,3386.2499999999727,996936.2500000001
2017,07,21,996936.2500000001,9969.362500000001,2.0,7500.0,9899.6,2017-07-21 09:15:00+05:30,100.0,9919.25,2017-07-21 15:20:00+05:30,1529.9999999999727,998466.2500000001
2017,07,24,998466.2500000001,9984.662500000002,2.0,7500.0,9939.75,2017-07-24 09:32:00+05:30,100.0,9968.65,2017-07-24 15:20:00+05:30,2223.7499999999727,1000690.0000000001
2017,07,25,1000690.0000000001,10006.900000000001,2.0,7500.0,10010.55,2017-07-25 09:15:00+05:30,100.0,9959.7,2017-07-25 15:20:00+05:30,-3738.749999999891,996951.2500000002
2017,07,26,996951.2500000002,9969.512500000003,2.0,7500.0,9989.95,2017-07-26 10:06:00+05:30,100.0,10021.85,2017-07-26 15:20:00+05:30,2471.249999999918,999422.5000000001
